+0.0000000E+00	+7.8491722E-14	+0.0000000E+00
+4.0000000E-01	+7.4988804E-14	-1.1165982E-13
+8.0000000E-01	-1.9516009E-13	-1.5594821E-13
+1.2000000E+00	-2.3569460E-13	+2.8958043E-13
+1.6000000E+00	+3.5272494E-13	+2.9112559E-13
+2.0000000E+00	+2.9408014E-13	-3.6002292E-13
+2.4000000E+00	-3.1314726E-13	-2.2950778E-13
+2.8000000E+00	-1.0906531E-13	+2.3309645E-13
+3.2000000E+00	+1.4382859E-13	-2.9533094E-14
+3.6000000E+00	-1.3840648E-13	-5.8014480E-14
+4.0000000E+00	+2.5812494E-14	+1.8203664E-13
+4.4000000E+00	+1.5350700E-13	-1.1377245E-13
+4.8000000E+00	-2.0262654E-13	-7.5256535E-14
+5.2000000E+00	+1.5436743E-14	+2.7235025E-13
+5.6000000E+00	+2.9208446E-13	-8.6934402E-14
+6.0000000E+00	-1.2729692E-13	-2.3714714E-13
+6.4000000E+00	-1.0688116E-13	+1.4426403E-13
+6.8000000E+00	+1.5280493E-13	-6.8370726E-14
+7.2000000E+00	-2.3684786E-13	-1.5974681E-13
+7.6000000E+00	-1.5645039E-13	+3.4736966E-13
+8.0000000E+00	+3.7207494E-13	+1.2480548E-13
+8.4000000E+00	+5.2766563E-14	-3.1759773E-13
+8.8000000E+00	-2.1894589E-13	+5.0944355E-14
+9.2000000E+00	+1.5334678E-13	+1.2005919E-13
+9.6000000E+00	+5.2091798E-14	-2.0879013E-13
+1.0000000E+01	-1.8051568E-13	-2.0958823E-14
+1.0400000E+01	-9.7554953E-15	+6.1038521E-14
+1.0800000E+01	-1.1950986E-13	-6.8478886E-15
+1.1200000E+01	-4.5231582E-14	+3.0174920E-13
+1.1600000E+01	+4.1845957E-13	+1.0205477E-13
+1.2000000E+01	+1.5509637E-13	-4.1945182E-13
+1.2400000E+01	-2.8957355E-13	-1.7416203E-13
+1.2800000E+01	-1.3575301E-13	+5.3566256E-14
+1.3200000E+01	-2.3246008E-13	+3.4375940E-14
+1.3600000E+01	-1.1390924E-13	+4.9832161E-13
+1.4000000E+01	+6.7936699E-13	+2.7604877E-13
+1.4400000E+01	+4.1193088E-13	-7.3287459E-13
+1.4800000E+01	-6.4792916E-13	-4.8594192E-13
+1.5200000E+01	-4.7698924E-13	+4.4748962E-13
+1.5600000E+01	+1.8269013E-13	+3.8492361E-13
+1.6000000E+01	+2.3206582E-13	+7.9547367E-14
+1.6400000E+01	+2.7322731E-13	-5.9051227E-14
+1.6800000E+01	+8.4958158E-14	-3.5048180E-13
+1.7200000E+01	-2.9450689E-13	-1.5611425E-13
+1.7600000E+01	-1.3035104E-13	+1.2402715E-13
+1.8000000E+01	-1.1264559E-13	+1.3872408E-14
+1.8400000E+01	-1.5455691E-13	+3.5257975E-13
+1.8800000E+01	+5.3778643E-13	+3.1159278E-13
+1.9200000E+01	+3.8645980E-13	-6.3334326E-13
+1.9600000E+01	-6.3837837E-13	-3.2310876E-13
+2.0000000E+01	-1.0129355E-13	+5.8620123E-13
+2.0400000E+01	+5.3284166E-13	-2.4989321E-13
+2.0800000E+01	-6.5129978E-13	-5.3657386E-13
+2.1200000E+01	-6.3409964E-13	+9.8846349E-13
+2.1600000E+01	+1.1405591E-12	+8.2123537E-13
+2.2000000E+01	+1.0461608E-12	-1.0174927E-12
+2.2400000E+01	-5.9464023E-13	-1.2205415E-12
+2.2800000E+01	-1.2479783E-12	-6.7379662E-14
+2.3200000E+01	-8.2823884E-13	+1.0617664E-12
+2.3600000E+01	+6.5795129E-13	+1.5017498E-12
+2.4000000E+01	+1.9104104E-12	-1.0865149E-13
+2.4400000E+01	+4.5356769E-13	-1.9432394E-12
+2.4800000E+01	-1.5954481E-12	-8.7813995E-13
+2.5200000E+01	-1.0513477E-12	+9.7322318E-13
+2.5600000E+01	+2.5955100E-13	+9.4185168E-13
+2.6000000E+01	+6.1709665E-13	+3.4737475E-13
+2.6400000E+01	+7.0003677E-13	-2.2197110E-13
+2.6800000E+01	+7.3083342E-14	-7.4666724E-13
+2.7200000E+01	-5.3922570E-13	-1.3411545E-13
+2.7600000E+01	+8.8890848E-14	+2.0363127E-13
+2.8000000E+01	-1.1317097E-13	-5.4740025E-13
+2.8400000E+01	-1.1165949E-12	+2.9672392E-13
+2.8800000E+01	+2.9883260E-13	+1.6435036E-12
+2.9200000E+01	+2.0007397E-12	-1.4180268E-13
+2.9600000E+01	+1.0353761E-13	-2.1256755E-12
+3.0000000E+01	-2.0330358E-12	-3.5314893E-13
+3.0400000E+01	-5.4305079E-13	+1.8003755E-12
+3.0800000E+01	+1.5353072E-12	+6.4931441E-13
+3.1200000E+01	+6.9085993E-13	-1.3373571E-12
+3.1600000E+01	-1.2659608E-12	-7.1758758E-13
+3.2000000E+01	-7.8960904E-13	+1.3218472E-12
+3.2400000E+01	+1.4447561E-12	+9.5358748E-13
+3.2800000E+01	+1.2213107E-12	-1.5275439E-12
+3.3200000E+01	-1.4447081E-12	-1.5552980E-12
+3.3600000E+01	-1.8665563E-12	+1.0907945E-12
+3.4000000E+01	+4.2040470E-13	+2.0289832E-12
+3.4400000E+01	+1.9115061E-12	+5.2217620E-13
+3.4800000E+01	+1.5966193E-12	-1.4224931E-12
+3.5200000E+01	-5.5341439E-13	-2.5919350E-12
+3.5600000E+01	-3.2820591E-12	-5.9581990E-13
+3.6000000E+01	-1.8251931E-12	+3.4974269E-12
+3.6400000E+01	+3.1884308E-12	+2.8817532E-12
+3.6800000E+01	+3.5354634E-12	-2.4549973E-12
